OID_,Nom,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90,Annee,Latitude,Longitude
0,Mine_Meliadine,1,5526.000000000000000,4281.925827519999984,0.000000000000000,59.133007049600003,59.133007049600003,0.250706825056000,3.060634331860000,1385.405915260000029,0.000000000000000,0.000000000000000,2000,7161640.171190000139177,-5619192.697039999999106
1,Mine_Baffinland,2,11678.000000000000000,9048.950443760000780,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2000,7883979.005350000225008,-3857708.481070000212640
2,Mine_Hope_Bay,3,2261.000000000000000,1752.964879299999893,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2000,7616867.526840000413358,-5724257.075199999846518
3,Mine_Meadowbank,4,72314.000000000000000,55999.472371999996540,0.000000000000000,37.987987518300002,37.987987518300002,0.011209232068600,0.507637061701000,810.584407805999945,0.000000000000000,0.000000000000000,2000,7343493.144229999743402,-5590595.514489999972284
4,Mine_Lupin,5,917.000000000000000,710.002412703000005,0.000000000000000,28.503105163600001,28.503105163600001,0.892300203296000,4.120481110990000,818.239286422999953,0.000000000000000,0.000000000000000,2000,7409124.656639999710023,-6358136.443280000239611
5,Jericho_Diamond_Mine,6,916.000000000000000,710.031475330000035,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2000,7429872.413270000368357,-6335256.260540000163019
6, Ulu,7,1640.000000000000000,1270.668668479999951,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2000,7510100.643740000203252,-6159876.020990000106394
7,Muskox_Project,8,1808.000000000000000,1400.446029120000048,0.000000000000000,42.050319671600001,42.050319671600001,0.707156513117000,4.212161617150000,1278.538975720000053,0.000000000000000,0.000000000000000,2000,7588845.917620000429451,-6239744.381790000014007
8,Ferguson_lake,9,916.000000000000000,709.628590326999984,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2000,7148637.360960000194609,-5922763.648249999620020
9,Storm_Copper,10,918.000000000000000,710.946886739999968,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2000,8148470.463440000079572,-4078909.195549999829382
10,Mine_Meliadine,1,5526.000000000000000,4281.925827519999984,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2001,7161640.171190000139177,-5619192.697039999999106
11,Mine_Baffinland,2,11678.000000000000000,9048.950443760000780,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2001,7883979.005350000225008,-3857708.481070000212640
12,Mine_Hope_Bay,3,2261.000000000000000,1752.964879299999893,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2001,7616867.526840000413358,-5724257.075199999846518
13,Mine_Meadowbank,4,72314.000000000000000,55999.472371999996540,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2001,7343493.144229999743402,-5590595.514489999972284
14,Mine_Lupin,5,917.000000000000000,710.002412703000005,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2001,7409124.656639999710023,-6358136.443280000239611
15,Jericho_Diamond_Mine,6,916.000000000000000,710.031475330000035,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2001,7429872.413270000368357,-6335256.260540000163019
16, Ulu,7,1640.000000000000000,1270.668668479999951,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2001,7510100.643740000203252,-6159876.020990000106394
17,Muskox_Project,8,1808.000000000000000,1400.446029120000048,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2001,7588845.917620000429451,-6239744.381790000014007
18,Ferguson_lake,9,916.000000000000000,709.628590326999984,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2001,7148637.360960000194609,-5922763.648249999620020
19,Storm_Copper,10,918.000000000000000,710.946886739999968,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2001,8148470.463440000079572,-4078909.195549999829382
20,Mine_Meliadine,1,5526.000000000000000,4281.925827519999984,0.000000000000000,49.603855133099998,49.603855133099998,0.253925564407000,2.889227953870000,1403.192668910000066,0.000000000000000,0.000000000000000,2002,7161640.171190000139177,-5619192.697039999999106
21,Mine_Baffinland,2,11678.000000000000000,9048.950443760000780,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2002,7883979.005350000225008,-3857708.481070000212640
22,Mine_Hope_Bay,3,2261.000000000000000,1752.964879299999893,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2002,7616867.526840000413358,-5724257.075199999846518
23,Mine_Meadowbank,4,72314.000000000000000,55999.472371999996540,0.000000000000000,48.812725067099997,48.812725067099997,0.015459854070000,0.649982822356000,1117.963887209999939,0.000000000000000,0.000000000000000,2002,7343493.144229999743402,-5590595.514489999972284
24,Mine_Lupin,5,917.000000000000000,710.002412703000005,0.000000000000000,23.757158279399999,23.757158279399999,0.598984699603000,3.328127857430000,549.268969535999986,0.000000000000000,0.000000000000000,2002,7409124.656639999710023,-6358136.443280000239611
25,Jericho_Diamond_Mine,6,916.000000000000000,710.031475330000035,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2002,7429872.413270000368357,-6335256.260540000163019
26, Ulu,7,1640.000000000000000,1270.668668479999951,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2002,7510100.643740000203252,-6159876.020990000106394
27,Muskox_Project,8,1808.000000000000000,1400.446029120000048,0.000000000000000,35.951656341600000,35.951656341600000,0.672242204172000,3.828368899240000,1215.413905139999997,0.000000000000000,0.000000000000000,2002,7588845.917620000429451,-6239744.381790000014007
28,Ferguson_lake,9,916.000000000000000,709.628590326999984,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2002,7148637.360960000194609,-5922763.648249999620020
29,Storm_Copper,10,918.000000000000000,710.946886739999968,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2002,8148470.463440000079572,-4078909.195549999829382
30,Mine_Meliadine,1,5526.000000000000000,4281.925827519999984,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2003,7161640.171190000139177,-5619192.697039999999106
31,Mine_Baffinland,2,11678.000000000000000,9048.950443760000780,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2003,7883979.005350000225008,-3857708.481070000212640
32,Mine_Hope_Bay,3,2261.000000000000000,1752.964879299999893,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2003,7616867.526840000413358,-5724257.075199999846518
33,Mine_Meadowbank,4,72314.000000000000000,55999.472371999996540,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2003,7343493.144229999743402,-5590595.514489999972284
34,Mine_Lupin,5,917.000000000000000,710.002412703000005,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2003,7409124.656639999710023,-6358136.443280000239611
35,Jericho_Diamond_Mine,6,916.000000000000000,710.031475330000035,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2003,7429872.413270000368357,-6335256.260540000163019
36, Ulu,7,1640.000000000000000,1270.668668479999951,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2003,7510100.643740000203252,-6159876.020990000106394
37,Muskox_Project,8,1808.000000000000000,1400.446029120000048,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2003,7588845.917620000429451,-6239744.381790000014007
38,Ferguson_lake,9,916.000000000000000,709.628590326999984,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2003,7148637.360960000194609,-5922763.648249999620020
