OID_,Nom,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90,Annee,Latitude,Longitude
0,Mine_Meliadine,1,5526.000000000000000,4281.925827519999984,0.000000000000000,38.387477874799998,38.387477874799998,0.066793074447200,1.105390739980000,369.098529395000014,0.000000000000000,0.000000000000000,2023,7161640.171190000139177,-5619192.697039999999106
1,Mine_Baffinland,2,11678.000000000000000,9048.950443760000780,0.000000000000000,42.117713928199997,42.117713928199997,0.051519129868500,1.018037326950000,601.640398603999984,0.000000000000000,0.000000000000000,2023,7883979.005350000225008,-3857708.481070000212640
2,Mine_Hope_Bay,3,2261.000000000000000,1752.964879299999893,0.000000000000000,10.734456062300000,10.734456062300000,0.025065333176700,0.345544318412000,56.672718312599997,0.000000000000000,0.000000000000000,2023,7616867.526840000413358,-5724257.075199999846518
3,Mine_Meadowbank,4,72314.000000000000000,55999.472371999996540,0.000000000000000,18.888124465899999,18.888124465899999,0.004690970478410,0.206714601202000,339.222839175999979,0.000000000000000,0.000000000000000,2023,7343493.144229999743402,-5590595.514489999972284
4,Mine_Lupin,5,917.000000000000000,710.002412703000005,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2023,7409124.656639999710023,-6358136.443280000239611
5,Jericho_Diamond_Mine,6,916.000000000000000,710.031475330000035,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2023,7429872.413270000368357,-6335256.260540000163019
6, Ulu,7,1640.000000000000000,1270.668668479999951,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2023,7510100.643740000203252,-6159876.020990000106394
7,Muskox_Project,8,1808.000000000000000,1400.446029120000048,0.000000000000000,18.500820159900002,18.500820159900002,0.054230509724900,0.705400317041000,98.048761582699996,0.000000000000000,0.000000000000000,2023,7588845.917620000429451,-6239744.381790000014007
8,Ferguson_lake,9,916.000000000000000,709.628590326999984,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2023,7148637.360960000194609,-5922763.648249999620020
9,Storm_Copper,10,918.000000000000000,710.946886739999968,0.000000000000000,11.096467971799999,11.096467971799999,0.117063602027000,0.792313876682000,107.464386661000006,0.000000000000000,0.000000000000000,2023,8148470.463440000079572,-4078909.195549999829382
10,Mine_Meliadine,1,5526.000000000000000,4281.925827519999984,0.000000000000000,50.783935546899997,50.783935546899997,0.082368073768800,1.358163886960000,455.165975646999982,0.000000000000000,0.000000000000000,2024,7161640.171190000139177,-5619192.697039999999106
11,Mine_Baffinland,2,11678.000000000000000,9048.950443760000780,0.000000000000000,42.122116088900000,42.122116088900000,0.054185094088000,1.025015346010000,632.773528758999987,0.000000000000000,0.000000000000000,2024,7883979.005350000225008,-3857708.481070000212640
12,Mine_Hope_Bay,3,2261.000000000000000,1752.964879299999893,0.000000000000000,11.971255302399999,11.971255302399999,0.030893895142000,0.382667222464000,69.851096916000003,0.000000000000000,0.000000000000000,2024,7616867.526840000413358,-5724257.075199999846518
13,Mine_Meadowbank,4,72314.000000000000000,55999.472371999996540,0.000000000000000,30.980504989600000,30.980504989600000,0.006216070323430,0.284323598480000,449.508909368999980,0.000000000000000,0.000000000000000,2024,7343493.144229999743402,-5590595.514489999972284
14,Mine_Lupin,5,917.000000000000000,710.002412703000005,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2024,7409124.656639999710023,-6358136.443280000239611
15,Jericho_Diamond_Mine,6,916.000000000000000,710.031475330000035,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2024,7429872.413270000368357,-6335256.260540000163019
16, Ulu,7,1640.000000000000000,1270.668668479999951,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2024,7510100.643740000203252,-6159876.020990000106394
17,Muskox_Project,8,1808.000000000000000,1400.446029120000048,0.000000000000000,17.749233245799999,17.749233245799999,0.050289659635200,0.652543704362000,90.923704620500004,0.000000000000000,0.000000000000000,2024,7588845.917620000429451,-6239744.381790000014007
18,Ferguson_lake,9,916.000000000000000,709.628590326999984,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2024,7148637.360960000194609,-5922763.648249999620020
19,Storm_Copper,10,918.000000000000000,710.946886739999968,0.000000000000000,13.134488105799999,13.134488105799999,0.118201673139000,0.845126707011000,108.509135942000000,0.000000000000000,0.000000000000000,2024,8148470.463440000079572,-4078909.195549999829382
20,Mine_Meliadine,1,5526.000000000000000,4281.925827519999984,0.000000000000000,25.963275909400000,25.963275909400000,0.031241024691300,0.697589749801000,172.637902443999991,0.000000000000000,0.000000000000000,2012,7161640.171190000139177,-5619192.697039999999106
21,Mine_Baffinland,2,11678.000000000000000,9048.950443760000780,0.000000000000000,9.666893959050000,9.666893959050000,0.002374887827500,0.109353091276000,27.733940049499999,0.000000000000000,0.000000000000000,2012,7883979.005350000225008,-3857708.481070000212640
22,Mine_Hope_Bay,3,2261.000000000000000,1752.964879299999893,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2012,7616867.526840000413358,-5724257.075199999846518
23,Mine_Meadowbank,4,72314.000000000000000,55999.472371999996540,0.000000000000000,28.363389968900002,28.363389968900002,0.004228542620230,0.218607568169000,305.782831040000019,0.000000000000000,0.000000000000000,2012,7343493.144229999743402,-5590595.514489999972284
24,Mine_Lupin,5,917.000000000000000,710.002412703000005,0.000000000000000,6.012047767640000,6.012047767640000,0.029229010920500,0.307347699442000,26.803003014100000,0.000000000000000,0.000000000000000,2012,7409124.656639999710023,-6358136.443280000239611
25,Jericho_Diamond_Mine,6,916.000000000000000,710.031475330000035,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2012,7429872.413270000368357,-6335256.260540000163019
26, Ulu,7,1640.000000000000000,1270.668668479999951,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2012,7510100.643740000203252,-6159876.020990000106394
27,Muskox_Project,8,1808.000000000000000,1400.446029120000048,0.000000000000000,12.147235870399999,12.147235870399999,0.033675755739400,0.446159320277000,60.885766376900001,0.000000000000000,0.000000000000000,2012,7588845.917620000429451,-6239744.381790000014007
28,Ferguson_lake,9,916.000000000000000,709.628590326999984,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2012,7148637.360960000194609,-5922763.648249999620020
29,Storm_Copper,10,918.000000000000000,710.946886739999968,0.000000000000000,9.733526229860001,9.733526229860001,0.070963614643100,0.544381515075000,65.144598242399994,0.000000000000000,0.000000000000000,2012,8148470.463440000079572,-4078909.195549999829382
30,Mine_Meliadine,1,5526.000000000000000,4281.925827519999984,0.000000000000000,34.056137085000003,34.056137085000003,0.038054013584800,0.845198978872000,210.286479070000013,0.000000000000000,0.000000000000000,2013,7161640.171190000139177,-5619192.697039999999106
31,Mine_Baffinland,2,11678.000000000000000,9048.950443760000780,0.000000000000000,21.177541732800002,21.177541732800002,0.017725475684000,0.430020400485000,206.998105038000006,0.000000000000000,0.000000000000000,2013,7883979.005350000225008,-3857708.481070000212640
32,Mine_Hope_Bay,3,2261.000000000000000,1752.964879299999893,0.000000000000000,5.885324478150000,5.885324478150000,0.012836298201400,0.185245955189000,29.022870233300001,0.000000000000000,0.000000000000000,2013,7616867.526840000413358,-5724257.075199999846518
33,Mine_Meadowbank,4,72314.000000000000000,55999.472371999996540,0.000000000000000,30.297527313200000,30.297527313200000,0.004164030734470,0.214143340264000,301.117718533000016,0.000000000000000,0.000000000000000,2013,7343493.144229999743402,-5590595.514489999972284
34,Mine_Lupin,5,917.000000000000000,710.002412703000005,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2013,7409124.656639999710023,-6358136.443280000239611
35,Jericho_Diamond_Mine,6,916.000000000000000,710.031475330000035,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2013,7429872.413270000368357,-6335256.260540000163019
36, Ulu,7,1640.000000000000000,1270.668668479999951,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2013,7510100.643740000203252,-6159876.020990000106394
37,Muskox_Project,8,1808.000000000000000,1400.446029120000048,0.000000000000000,9.611466407780000,9.611466407780000,0.030255187750200,0.381847268191000,54.701379452300003,0.000000000000000,0.000000000000000,2013,7588845.917620000429451,-6239744.381790000014007
38,Ferguson_lake,9,916.000000000000000,709.628590326999984,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2013,7148637.360960000194609,-5922763.648249999620020
39,Storm_Copper,10,918.000000000000000,710.946886739999968,0.000000000000000,14.952019691500000,14.952019691500000,0.096049151772900,0.777024728593000,88.173121327499999,0.000000000000000,0.000000000000000,2013,8148470.463440000079572,-4078909.195549999829382
40,Mine_Meliadine,1,5526.000000000000000,4281.925827519999984,0.000000000000000,27.265594482400001,27.265594482400001,0.030107744452300,0.665837201967000,166.375395843000007,0.000000000000000,0.000000000000000,2014,7161640.171190000139177,-5619192.697039999999106
41,Mine_Baffinland,2,11678.000000000000000,9048.950443760000780,0.000000000000000,40.651287078899998,40.651287078899998,0.024284503645100,0.595215263077000,283.594433567999999,0.000000000000000,0.000000000000000,2014,7883979.005350000225008,-3857708.481070000212640
42,Mine_Hope_Bay,3,2261.000000000000000,1752.964879299999893,0.000000000000000,6.264260768890000,6.264260768890000,0.014414568178800,0.208139769267000,32.591338652200001,0.000000000000000,0.000000000000000,2014,7616867.526840000413358,-5724257.075199999846518
43,Mine_Meadowbank,4,72314.000000000000000,55999.472371999996540,0.000000000000000,27.473205566400001,27.473205566400001,0.003588749656510,0.192900051618000,259.516842660999998,0.000000000000000,0.000000000000000,2014,7343493.144229999743402,-5590595.514489999972284
44,Mine_Lupin,5,917.000000000000000,710.002412703000005,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2014,7409124.656639999710023,-6358136.443280000239611
45,Jericho_Diamond_Mine,6,916.000000000000000,710.031475330000035,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2014,7429872.413270000368357,-6335256.260540000163019
46, Ulu,7,1640.000000000000000,1270.668668479999951,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2014,7510100.643740000203252,-6159876.020990000106394
47,Muskox_Project,8,1808.000000000000000,1400.446029120000048,0.000000000000000,11.334983825700000,11.334983825700000,0.031878435661200,0.418737908947000,57.636211675399998,0.000000000000000,0.000000000000000,2014,7588845.917620000429451,-6239744.381790000014007
48,Ferguson_lake,9,916.000000000000000,709.628590326999984,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2014,7148637.360960000194609,-5922763.648249999620020
49,Storm_Copper,10,918.000000000000000,710.946886739999968,0.000000000000000,11.570951461800000,11.570951461800000,0.093178081340400,0.678038842937000,85.537478670499993,0.000000000000000,0.000000000000000,2014,8148470.463440000079572,-4078909.195549999829382
